Ville,Nombre de Salons,Population,Habitants par Salon
bellegarde,1,7210,7210.0
soultz-haut-rhin,1,7204,7204.0
saint-yrieix-la-perche,2,7199,3600.0
gueugnon,1,7196,7196.0
montoir-de-bretagne,1,7166,7166.0
chauvigny,1,7164,7164.0
salles,1,7157,7157.0
hasparren,1,7152,7152.0
bouillante,1,7135,7135.0
notre-dame-de-bondeville,1,7119,7119.0
terville,1,7116,7116.0
guipry-messac,1,7110,7110.0
caussade,1,7104,7104.0
loudun,1,7091,7091.0
villemoisson-sur-orge,2,7084,3542.0
brioude,5,7081,1416.0
eu,2,7076,3538.0
valognes,1,7070,7070.0
aussonne,1,7057,7057.0
chabeuil,3,7053,2351.0
caudan,1,7035,7035.0
gaillon,1,7022,7022.0
saint-julien-de-concelles,1,7015,7015.0
luxeuil-les-bains,3,7008,2336.0
toulouges,3,7000,2333.0
nyons,2,6980,3490.0
feignies,2,6978,3489.0
grenay,1,6972,6972.0
entre-deux,1,6969,6969.0
saint-flour,3,6947,2316.0
herbignac,1,6946,6946.0
divatte-sur-loire,2,6943,3472.0
roquefort-les-pins,1,6942,6942.0
liancourt,1,6941,6941.0
gournay-sur-marne,2,6933,3466.0
givet,2,6908,3454.0
audun-le-tiche,1,6908,6908.0
sainte-pazanne,1,6901,6901.0
saint-bonnet-de-mure,1,6879,6879.0
chaumes-en-retz,1,6868,6868.0
balaruc-les-bains,2,6858,3429.0
montfort-sur-meu,1,6823,6823.0
avallon,3,6791,2264.0
ploeren,1,6784,6784.0
la tronche,1,6737,6737.0
condom,1,6735,6735.0
plouguerneau,2,6735,3368.0
saint-jean-bonnefonds,1,6707,6707.0
saint-pierre-en-faucigny,2,6704,3352.0
vallons-de-l'erdre,1,6676,6676.0
aubigny-les clouzeaux,1,6671,6671.0
saint-laurent-blangy,1,6670,6670.0
cambo-les-bains,1,6660,6660.0
mourenx,1,6660,6660.0
la plaine-des-palmistes,3,6659,2220.0
laneuveville-devant-nancy,2,6651,3326.0
itteville,1,6646,6646.0
le blanc,4,6611,1653.0
louhans,2,6569,3284.0
ceyrat,1,6550,6550.0
melle,3,6540,2180.0
montauroux,2,6539,3270.0
estaires,1,6538,6538.0
meung-sur-loire,1,6533,6533.0
gigean,2,6506,3253.0
hombourg-haut,1,6499,6499.0
la penne-sur-huveaune,1,6495,6495.0
villers-saint-paul,1,6489,6489.0
guer,3,6477,2159.0
montech,1,6469,6469.0
prades,1,6465,6465.0
baud,1,6454,6454.0
