Ville,Nombre de Salons,Population
saint-aignan,1,252
saint-aignan,1,416
ballots,1,1312
arcangues,1,3240
quintin,1,3038
tournay,1,1229
buchelay,1,3154
grand-champ,1,5535
haute-amance,1,971
pluneret,1,5855
amancy,1,2719
vieux-charmont,1,2798
allaire,1,3979
stenay,1,2721
lons-le-saunier,1,18023
briouze,1,1605
exincourt,1,3272
mutzig,1,6061
florensac,1,5099
breuil-barret,1,647
ingwiller,1,4101
borne,1,51
borne,1,419
thury,1,283
thury,1,447
villieu-loyes-mollon,1,3717
vindecy,1,259
rumersheim-le-haut,1,1105
saix,1,295
saint-clar,1,1082
cambo-les-bains,1,6660
givrand,1,2228
sannois,1,27020
arcis-sur-aube,1,2950
saint-martin-lez-tatinghem,1,6042
pleslin-trigavou,1,3701
bains,1,1393
camps-la-source,1,1944
saint-jean-le-vieux,1,1802
saint-jean-le-vieux,1,296
saint-jean-le-vieux,1,866
criel-sur-mer,1,2734
villefranche-de-panat,1,730
magescq,1,2208
soliers,1,2095
saint-alban-leysse,1,6213
dammarie,1,1535
marans,1,4561
vagney,1,4035
muides-sur-loire,1,1295
villeneuve-sur-bellot,1,1142
saint-laurent-de-chamousset,1,1940
chabreloche,1,1239
les belleville,1,3611
allonne,1,1601
allonne,1,683
thorigny-sur-marne,1,10266
emmerin,1,3195
la turballe,1,4523
lanester,1,23219
saint-thurien,1,1046
bessan,1,5141
thiberville,1,1815
ry,1,720
luri,1,844
champsecret,1,914
chorges,1,3053
perrignier,1,1882
plaudren,1,1979
altkirch,1,5870
saint-amand-en-puisaye,1,1284
saint-rambert-en-bugey,1,2302
faches-thumesnil,1,17955
arcachon,1,11528
warluis,1,1189
moustoir-ac,1,1844
hudimesnil,1,916
vendeuvre-sur-barse,1,2355
arsac-en-velay,1,1237
ax-les-thermes,1,1332
saint-calais,1,3431
falleron,1,1613
anlezy,1,251
varennes-sur-allier,1,3633
goussainville,1,1310
goussainville,1,30787
inchy-en-artois,1,633
jayat,1,1194
valleiry,1,4757
calan,1,1229
rodilhan,1,3075
beaufay,1,1506
aulnoye-aymeries,1,9049
docelles,1,897
gourbeyre,1,7979
batz-sur-mer,1,2981
baulay,1,303
saint-fons,1,18859
neufchef,1,2633
meyenheim,1,1489
thann,1,7921
gironcourt-sur-vraine,1,945
vaires-sur-marne,1,13467
saint-pierre-de-belleville,1,175
la cambe,1,571
saultain,1,2414
le neubourg,1,4375
rabastens-de-bigorre,1,1479
saint-julien-de-cassagnas,1,713
le montsaugeonnais,1,1291
champs-sur-tarentaine-marchal,1,1092
ayguetinte,1,164
marzan,1,2334
lantriac,1,1982
tercis-les-bains,1,1241
tence,1,3143
le beausset,1,9907
chasselay,1,414
chasselay,1,2849
jort,1,300
sautron,1,8350
osny,1,17135
pantin,1,57668
thurins,1,3112
nersac,1,2469
saint-hostien,1,773
rancon,1,505
fleury,1,141
fleury,1,3888
fleury,1,1059
fleury,1,1250
fleury,1,563
fleury,1,123
fleury,1,226
port,1,869
saint-privat-la-montagne,1,1857
rouans,1,2993
villamblard,1,905
neuilly-en-thelle,1,3697
hasparren,1,7152
doullens,1,6412
barfleur,1,580
barcelonne-du-gers,1,1410
arnay-le-duc,1,1464
apinac,1,424
plaissan,1,1212
confolens,1,2825
plouharnel,1,2208
saint-privat-des-vieux,1,5309
villepinte,1,1327
villepinte,1,36934
cancale,1,5211
lemud,1,504
villemeux-sur-eure,1,1668
sombernon,1,938
semur-en-auxois,1,4492
longueville,1,288
longueville,1,373
longueville,1,619
longueville,1,140
longueville,1,1821
hombourg-haut,1,6499
limont-fontaine,1,569
mignaloux-beauvoir,1,4751
mailly-raineval,1,305
billom,1,4825
aubigny-les clouzeaux,1,6671
arcey,1,54
arcey,1,1489
